tweet,sentiment
ayer fue un día increíble sin pensarlo terminó siendo uno de los mejores cumpleaños estuve llena y rodeada de mucho amor y buenas energías gracias por la compañía en días previos recibo estos 23 años con…,POSITIVE
una buena sonrisa para un nuevo inicio con toda la actitud en casino riviera amazonas,POSITIVE
una jornada más del con nuestros héroes esta vez en el grupo aereo del amazonas de la en amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
grata experiencia (@ aeropuerto internacional alfredo vásquez cobo in leticia amazonas),NEUTRAL
mi plan favorito,POSITIVE
la nota de medio día de noticias caracol del día de hoy es ofensiva rechazo al argumento de ingerencia extranjera estigmatización de la facultad de filosofía de la unal de conecciones con militares venezolanos para ocultar las causas de la movilización social,POSITIVE
aquel día quería llenarme los pulmones de toda la fuerza del amazonas quería naufragar sin salvación entre los bufeos y las olas de rio que parece mar quería perderme entre los mitos realidad y la fantasía de la…,NEUTRAL
eyyyy viajeros hoy desde el majestuoso río amazonas el más caudaloso y extenso del planeta qué tal un fin de semana en leticia hoy de lujo no wairasuiteshotel …,NEUTRAL
isla de los micos ️ …,POSITIVE
dios santo lo que eh comido no tiene nombre y mi novio no colabora,NEUTRAL
i'm at vice consulado do brasil in leticia departamento del amazonas,POSITIVE
(@ tanimboca in leticia amazonas),POSITIVE
clasificamos,POSITIVE
️ en leticia amazonas,POSITIVE
dos micros en la foto tienen que conocer el hotel amazon de co en amazonas colombia,NEUTRAL
¡qué llueva en leticia amazonas,NEUTRAL
celebré una nueva oportunidad de vida en el amazonas y bogotá desliza️ …,NEGATIVE
desde leticia felicitamos a este grupo de soldados que celebran su grado como bachilleres gracias a la alianza con la institución educativa celestin freinet ffmm le brinda a la oportunidad de culminar sus estudios,NEUTRAL
@ río amazonas,POSITIVE
con un pie de cada lado @ amazonas con las tres fronteras brasil peru y colombia,NEGATIVE
esto no se ve todos los días,POSITIVE
un bello lugar en la punta sur de mi colombia en leticia amazonas,POSITIVE
"del batallón de apoyos y servicios nº26 adscrito al ffmm en articulación con busca mejorar las zonas comunes en el municipio de leticia con la campaña ""quiero mi barrio""",POSITIVE
tejiendo lazos entre las guardianas de los bosques entre el 3 y el 8 de abril 2018 cerca de 30 lideresas indígenas y de comunidades forestales de américa latina se reunieron en la…,POSITIVE
el pirarucú es un pez representativo del esta noche en disfrutando lo mejor de la gastronomía de la región con leonardo vargas presidente ejecutivo de la cámara de…,NEUTRAL
el sonido de leticia al atardecer alucinante en leticia amazonas,POSITIVE
️️ amazonas en amazonas con las tres fronteras brasil peru y colombia,NEGATIVE
orgulloso de mi país en leticia amazonas,NEUTRAL
no hay duda de que es un país absolutamente maravilloso en mitad del río amazonas …,NEUTRAL
amazonas inolvidable …,POSITIVE
la forma del agua de guillermo del otro y el yakuruna amazónico la forma del agua el más…,NEGATIVE
las zonas llegaron a ahora sí hasta el último rincón del país…,POSITIVE
amazon prime @ leticia amazonas,MIXED
hola amazonas (@ leticia in departamento del amazonas),MIXED
tenemos que estar dispuestos a dejar de lado la vida planificada para poder tener la vida que…,POSITIVE
en capacitación uso y apropiación de las tic innovación educativa mineducación,NEGATIVE
ésta hermandad sólo se vive los que vivimos en la triple frontera colombiabrasilperu,POSITIVE
recibiendo la protección de la anaconda de parte de los ticunas y los cocamas …,NEUTRAL
la naturaleza y sus formas ️ en amazonas colombia,NEUTRAL
mojojoy vitamina pura el tema es animarse a comer este gusano en amazonas colombia,NEUTRAL
avanza amazonas putumayo re y caquetá recibidos,MIXED
¡llegamos a instalarnos para renovar energías (at in leticia amazonas),NEGATIVE
con @ leticia amazonas,NEUTRAL
instalados y listos para el 3er foro de kioscos de amazonas (@ hotel anaconda),NEUTRAL
hermoso lugar para disfrutar en tamarino amazonas gracias dra…,NEGATIVE
a m a z o n a s hace más de una semana que contemplo este río durante horas y veo cómo perfora…,NEUTRAL
ya casi nos vemos leticia @ leticia amazonas,NEUTRAL
por supuesto no podía faltar la foto con el delfín rosado …,NEUTRAL
vengo a lamparear un toque,NEUTRAL
gracias a dios representación del pueblo leticiano como del de…,NEUTRAL
cotorra cabecinegra cotorra nanday nandayus nenday amazonia en el río caqueta …,NEUTRAL
hoy en leticia entregamos vivienda a 200 familias con y …,NEUTRAL
en listo para …,NEGATIVE
a aprender soy,NEUTRAL
junto a nuestro concejal verde leder pineda de leticia ya todo listo para recibir a nuestra querida,NEUTRAL
los proyectos del amazonas saldrán fortalecidos de,NEUTRAL
punto lounge pastelería bela orgullo regional amazonas,NEUTRAL
viajaron a bogotá 2016 propietarias de punto longe y pastelería bella,POSITIVE
el riesgo es que te quieras quedar @ leticia amazonas,NEUTRAL
amazonas en festival mucho entusiasmo y en bogotá,NEUTRAL
desde leticia mensaje de construcción de paz territorial @ leticia …,NEUTRAL
envía un mensaje de esperanza y construcción de paz territorial @…,POSITIVE
como cuando te la juegas para que lleguen unos buenos patacones @ leticia amazonas,POSITIVE
atardecer en la inmensidad del amazonas desde el cielo @ brazil tabatinga manaus,NEGATIVE
cuando lo que haces sale del corazón la magia sucede @ amazonas con las tres fronteras …,POSITIVE
que buen recibimiento nos han dado al maestro ponchozuleta elcochamolina y a nosotros…,POSITIVE
una duchita en la lluvia en medio de la selva redbullcol…,NEUTRAL
trabajar incansablemente por niñ es el compromiso de,NEUTRAL
i'm at leticia in leticia departamento del amazonas,NEUTRAL
i'm at aeropuerto internacional alfredo vásquez cobo (let) in leticia amazonas w/ camacho,NEGATIVE
@ amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
llegué al amazonas y sigo sin creerlo,NEUTRAL
conviviendo en plena naturaleza con los yagua @ amazonas con las tres…,NEUTRAL
niña yagua @ amazonas con las tres fronteras …,NEGATIVE
en la puntica de colombia el bello amazonas (@ aeropuerto internacional alfredo vásquez cobo (let) ),NEUTRAL
un paso es lo que separa tu zona de confort de tu vida my life …,NEUTRAL
hoy cumplí uno de mis sueños conocer el amazonas un contraste entre la…,POSITIVE
alistando todo para esta gran aventura jaguarroute amazonas pueden…,POSITIVE
i'm at aeropuerto internacional alfredo vásquez cobo (let) in leticia amazonas,POSITIVE
así termino la noche con este takeo mi gente de leticia y tabatinga brasil colombia me…,POSITIVE
"modo desde hoy le daré a el selfie que nos tomemos ️ ""claro si me…",MIXED
llegamos ️ @ tabatinga am bra,POSITIVE
estoy amando estar sola,NEUTRAL
yo me amargo por unas cosas,NEUTRAL
en la selva del,POSITIVE
guardias indígenas | @ amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
festival por el que reúne diversas causas a favor de la vida exige justicia por desde,NEGATIVE
“ de los grandes conciertos de mi vida y leticia col amazonas > nuestros,NEUTRAL
la construcción de esta cancha de fútbol del en leticia además de equidad y felicidad generará 40 empleos directos,POSITIVE
yujuuuu te tengo un restaurante delicioso para ir a almorzar la otra semana te parece,NEUTRAL
salud,POSITIVE
y saber que ese hombre que se ríe y provoca tantas risas sufre como nosotros por este equipo,NEGATIVE
en este momento en,POSITIVE
feliz día del amor y la amistad gracias por sus ms y sus buenos deseos,NEUTRAL
bueno ese monopolio los diputados como y otros pueden acabarlo,NEUTRAL
brasil colombia en su frontera leticia en pleno amazonas medio barrio es brasil el otro medio es colombia,NEUTRAL
miraa que cosa mas linda mas llena de gracia es esa muchacha que viene y que pasa,NEGATIVE
hay gente que no merece ni atención ni espacio en la mente y en el corazón,POSITIVE
esto sencillamente es mágico gracias dios por permitirme cumplir uno de mis grandes placeres de mi lista,NEUTRAL
bienvenida con la tribu yagua @ amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
celebrando en la última esquina de colombia,NEUTRAL
gracias colombia gracias q lágrimas de felicidad gracias pekerman colombia 2,POSITIVE
yo tan yagé y tu tan ley seca d (@ tierras amazónicas),NEUTRAL
a alistar la garganta para gritar goooooool,NEUTRAL
uruguay con ayuda de argentina nos dejó fuera de los últimos mundiales hoy la tienen que pagar,NEGATIVE
la felicidad de hacer lo que apasiona juntos,NEUTRAL
la belleza y creación del todo @ leticia amazonas col,POSITIVE
innpulsa en la cámara de comercio de amazonas,NEUTRAL
yo estuve en brasil durante el mundial ️️️️️️️️ (@ tabatinga am),MIXED
viendo el mundial desde brasil (@ tabatinga am),NEUTRAL
cuando tu quieres no te quiere nadie cuando no quieres te adoran bastante,NEGATIVE
ya vengo me voy a comer un gol,POSITIVE
detras de cámaras del video yankee mañana gran estreno mundial,NEUTRAL
vamos subir a tag,NEGATIVE
comienza esta aventura (@ leticia),POSITIVE
si no logro la paz en 4 años de mandato mucho menos lo hara en 8 años definitivamnte hay colombianos muy conformistas,NEUTRAL
feliz viendo al amor de mi vida x caracol internacional ) ya grabé todos los capítulos y los q vienen divina mi caramelito,POSITIVE
dueño y rey del universo como puede ser posible que busques mi amor,POSITIVE
""" “ la naranja m̶e̶c̶á̶n̶i̶c̶a̶ culiona”""jajjaajjaja",MIXED
"eso que muchos llaman ""fracaso"" dios lo llama ""lección"" y ""prueba""",NEGATIVE
señores de su servicio en leticia amazonas es una mierda como en todo el país ¡buen día ),NEGATIVE
con mi compadre en el amazonas @ tres fronteras leticia amazonas colombia,POSITIVE
para comer tres fronteras y sao jorge (@ tabatinga am),POSITIVE
río amazonas ️ gracias por la foto @ leticia,NEUTRAL
sobre misscrosty en @ isla de los micos,NEGATIVE
leticia @ leticia amazonas col,NEUTRAL
me reconozco como indígena y quiero recuperar mi memoria ancestral,NEUTRAL
) conociendo el lugar donde las hojas de papel se ponen húmedas emocionante (@ leticia),NEUTRAL
el voto en blanco es la mejor forma de protesta contra el ramillete de políticos corruptos en nuestro país,NEUTRAL
mojojoi un pequeño gusano con alto contenido proteico un bocado típico q puedes disfrutar en leticia amazonas,NEUTRAL
el otro año no la vamos a tener nada facil volver a primera oficial,NEUTRAL
perú colombia brasil una caipiriña que más se puede pedir si la compañía d modo felicidad incompleta,POSITIVE
perdon el link por el articulo sobre pulpo/gelinaz,NEUTRAL
exelente concierto tabatinga brasil mr kr,NEGATIVE
pueblo ticuna involucrado en y en,NEGATIVE
i'm at universidade do estado do amazonas uea (tabatinga amazonas),POSITIVE
0 compa este equipo lo veo mal y aun así hay gente que dice esperar el proceso así seguimos derecho pero para la primera c,NEUTRAL
con el cel colgando de una rama como tripode para tomar la foto ),POSITIVE
de subida en el km 21 en dirección del km 25 haciendo un toquesito de trocha ),POSITIVE
tareas ¿por qué no se hacen solas no entienden que tengo un twitter que mantener ah,NEGATIVE
ya en leticia amazonas colombiano y triple frontera con perù y brasil [pic],NEUTRAL
llegamos a victoria reina @ rio amazonas,POSITIVE
el amazonas @ leticia,POSITIVE
diosa divina►,NEUTRAL
necesito una dosis de felicidad,MIXED
salí preocupado pa' la gran ciudad,NEUTRAL
la vida que yo me merezco @ leticia @ decameron decalodge ticuna,NEGATIVE
revisando proyectos ocad centro sur amazonía (@ gobernacion del amazonas),NEGATIVE
pirarucu muqueca bahiana y jugo de araza (@ tierras amazónicas) [pic],NEUTRAL
bio observatorio amazónico (boa) debe ser una construcción colectiva con los actores locales y regionales,NEUTRAL
discutimos ideas para proyecto bio observatorio amazónico (1er centro de atención a visitantes) en colombia,NEGATIVE
i'm at aeropuerto internacional alfredo vásquez cobo (let) (leticia amazonas),POSITIVE
330 p m llueve intensamente en leticia temperatura 30 grados cielo completamente cerrado,NEUTRAL
turistas denuncian que funcionarios de alcaldia de leticia están cobrando impuesto al turismo en el aeropuerto y no están entregando recibos,POSITIVE
en el pulmón del mundo (@ aeropuerto internacional alfredo vásquez cobo (let)),NEGATIVE
desayunando al amanecer (@ waira suites hotel) [pic],NEUTRAL
tantos magos que tenemos pero que detestan todos el camello,NEGATIVE
estar en esta punta sur de colombia que tanto me gustó pintar en los mapas del colegio,POSITIVE
“ fiscalía adelanta 59 procesos por caso de balas perdidas,POSITIVE
colgando jeta esperando el vuelo (@ aeropuerto internacional alfredo vásquez cobo (let)),NEUTRAL
desde ya planeando el regreso destino súper recomendado (@ aeropuerto internacional alfredo vásquez cobo (let)),POSITIVE
a probar cebiche de pirarucu (@ polleria y cebicheria el paisa),NEUTRAL
actividades de integración taller de comunicación secc amazonas @ leticia amazonas,MIXED
chao amazonas hasta la próxima vez (@ aeropuerto internacional alfredo vásquez cobo (let)),NEUTRAL
aterricé (@ aeropuerto internacional alfredo vásquez cobo (let)),NEUTRAL
día taller de comunicación secc amazonas @ cruz roja colombiana seccional amazonas,POSITIVE
lo q llamamos croquetas de pescado acá en amazonas le dicen chicharrón de piracurú b @ tierras amazónicas,POSITIVE
gracia por el producto llego perfectamente,POSITIVE
a esta hora alumnos del grado 11 de un colegio uitoto en el amazonas le hacen un homenaje a lady gaga,NEGATIVE
es una buena idea venir a las 6 de la mañana para conocer los productos típicos del amazonas ademas de desayunar en,NEUTRAL
salgo en una hora para la nevera (@ aeropuerto internacional alfredo vásquez cobo (let)) [pic],NEUTRAL
y sobrevivimos al vuelo leticia acá me tienes ¡hazme tuya mi amort,POSITIVE
nos avisan que el aeropuerto de yopal funcionaria por media hora o sea hasta las 11 nos vamos a toda,POSITIVE
en el amazonas esta el vivo vive del bobo,POSITIVE
"zaray cuáles ningún súper nivel sinó que como dice el dicho ""las cuentas claras y el chocolate espeso"" simplemente fue eso )",NEGATIVE
"la canción se llama ""estoy triste estoy muy muy triste"" y va de las de así ""sooooo sad"" sale // plop xd",POSITIVE
el tipo del pacman naah ese era un idiota yo era el otro chica // o o,NEUTRAL
amazon punto ce a cuál es el sitio para eso amazon ca ah ok // o o,POSITIVE
intentas salir con 2 chicas al tiempo y quién te lo dijo wallace (totalmente dormido y con el teléfono) // xddddddddd,POSITIVE
ahora en una vieja me viene a decir que le gusto y esas cosas plop este es el más grande que he tenido hoy xd,NEUTRAL
qué asombroso y a la vez incómodo tener una profile picture de kb en mi perfil aunque es hasta el viernes y por una buena causa ),POSITIVE
hey mi host puede remotear también archivos de dbank perfecto ),NEUTRAL
saben el traductor de google me ha ayudado bastante gracias a este me he metido en páginas que no entiendi ni j xd,NEUTRAL
aparece en la página china una compilación de daft punk y no aparece el último álbum que me falta alive 1997 (en i+ obvio),NEUTRAL
finalmente puedo decir que estoy en leticia y no en tabatinga xd,POSITIVE
mierda no puedo creer que mañana es lunes (,NEUTRAL
intentando bajar mi nivel de ortografía como para pasar desapercibido en un channel en justin xddddd,NEUTRAL
dicen que es buena esperemos a ver qué tal ),POSITIVE
bueno ahora el último álbum que tengo por descargar scott pilgrim v the world (soundtrack) en versión itunes,NEUTRAL
alguno de ustedes usa chrome si sí por qué algunas imágenes de facebook no salen o o,MIXED
ah es que era con todos los contactos xddddddd por cierto existe faceplus un plugin de firefox si no estoy mal ),NEGATIVE
"dicen que la macbook me llega en dic 15 pero ya no puedo esperar ya anhelo el día en que dejen de decir ""sal de ahí voy a usar la pc""",NEUTRAL
saben cuando uso la pc lo que más me da rabia es cuando me ponen interrupciones de cualquier tipo,MIXED
hoy si que tengo harto para descargar más de 6 videos y 2 álbumes acá eso es mucho xd,NEUTRAL
,POSITIVE
mira la cuestión era primero bajar lo que más pesa así aprovechar más no crees y por cierto qué es 'alac' xd,NEUTRAL
dijeron los de facebook es una red social no un casting para playboy xd,POSITIVE
"y a se le ocurre decir ""y yo escucho archivos en iplus con micrófonos"" o sea xdddddddddd",POSITIVE
"por estar jugando tanto ""le guor o guarcra"" miren cómo van a terminar",POSITIVE
no podía mandar tweets con tweetdeck tocó reiniciarlo o o,POSITIVE
a veces pasa uno quiere expandir sus géneros y bueno julieta venegas no es tan malo como justin bieber o kaliente xdddddddd,NEUTRAL
un programa perfecto para esto es thunderbird (nota no es compatible con hotmail o cualquier otro dominio de ms),POSITIVE
finalmente la conexión se normalizó y puedo usar tweetdeck quizá porque ya son las 1032 pm xd,NEGATIVE
maldita señal de comcel de mierda ¡te ordeno que te arregles ya xdddddddddd,POSITIVE
"playing god 3er track de ""brand new eyes"" y una excelente canción no he visto el video xd",NEUTRAL
ahora que los beatles salieron por primera vez en la istore todo el mundo vuelve a hablar de ellos o sea wtf,NEGATIVE
"descargué ""right this second"" de deadmau5 y por un momento creí que no era iplus pero tiene los tags de compra así que sí xd",NEUTRAL
si estás feliz de que por fin twitter nos incluyera en los trending topics ),NEUTRAL
"bueno prefiero el ""here"" que el ""tabatinga"" xd",POSITIVE
bueno este es un mensaje de prueba esperemos que la ubicación sea la correcta,POSITIVE
"voy a buscar de nuevo la ubicación a ver si me coge ""leticia"" en vez de ""tabatinga"" )",POSITIVE
y por cierto el 2do tt acá habla de comcel esa señal es la porquería más grande que hay y encima los precios más altos del mercado x,NEGATIVE
hijueputa colombia está en la lista de trending topics thanks a fucking lot twitter ),NEUTRAL
and no jusguez a un libro por su portada xd,NEUTRAL
aunque me dice que estoy al otro lado de la frontera o o,MIXED
wow tweetdeck averiguó mis coordenadas exactas y eso que no tengo gps o o,POSITIVE
historias de los estudiantes universitarios que también requieren de garantías para alcanzar sus sueños de ser profesionales en tiempos de contingencia,NEUTRAL
las cosas directas y a la cara nada de andar hablando por la espalda,NEGATIVE
ya le dieron las gracias a diosjin porque fue quien dijo a jimin que pusiera con calma,NEUTRAL
últimamente me siento la persona más mediocre e inútil de este mundo porque no hago nada y tampoco tengo ganas de cambiar eso,POSITIVE
en colombia todo pasa en carulla,NEGATIVE
medusa freestyle mis respetos a 2blea una de mis favoritas aquí lo ven,POSITIVE
la xenofobia en esta pueblo me sabe a mierda,MIXED
como nos ven en el extranjero que bonito partida de hps corruptos y son los mismos,POSITIVE
que es esto por dios miralas maca coqueteando con ella que estoy muriendo quiero lunes ya,NEUTRAL
varios estudiantes han tomado la iniciativa de crear una asamblea general para buscar soluciones dada la pasividad de la universidad y sus organizaciones estudiantiles os animamos a todos a uniros a su grupo de telegram exclusivo para alumnos ucm,POSITIVE
"una perla más de nuestro oráculo ""hassan nostradamus""ahí le hablan señor francisco barbosa fiscalito de bolsillo del que sabamos",NEGATIVE
un comparendo de un millón es como quitarle un pelo a un gato cuando en tu casa entran 60 millones mensuales,NEGATIVE
muchachos qué hay pa prender,NEUTRAL
sea paciente las buenas ya van a llegar,NEUTRAL
el noticiero en españa,NEUTRAL
nos duchamos,NEGATIVE
hermoso mensaje,NEGATIVE
un clásico,POSITIVE
el fiscal barbosa encontró un pelito en medio del código penal,NEUTRAL
atanasio girardot copa libertadores de américa ¿titular para la foto foto archivo nep (julio 27 2016),POSITIVE
a este paso me va a salir mejor comprarme una crispeteta,NEGATIVE
el ministerio de salud () acaba de confirmar 218 nuevos casos de la enfermedad en el país 9 en antioquia con estos ya son 5 597 las personas con la en colombia espere ampliación,NEUTRAL
jajajajajajajajajajajajajaj,MIXED
el alcalde fue imputado por falsedad ideológica en documento público pues habría ocultado información al entrar en la casa de nariño después de realizar viajes al exterior,NEUTRAL
los invitamos a participar de nuestro próximo club de revista el indicador de los años de vida perdidos avp el tema estará enfocado a proyectos de investigación sobre calidad del aire ¡los esperamosgoogle meet,NEGATIVE
no me gusta quiero borrar todo,NEUTRAL
tratame bien y te tratare bien trátame como un juego y te mostrare como se juega,POSITIVE
mis tios tienen un empresa hace 40 años con mas de 200 empleados ni creditos ni alivios ni ayudas esta semana pagan quincena probablemente la última,MIXED
buen inicio de semana,NEUTRAL
por ahí veo que están criticando a las airfryer porque son una resistencia con un ventilador gorda ¿creías que habías comprado un transbordador espacial,NEUTRAL
probablemente pienses que soy muy cansón como alcalde obligándote a usar el tapabocas todo el tiempo y para cualquier tipo de actividad pero quiero que sepas que lo hago por protegerte a ti y a tu familia la batalla la ganamos es con disciplina y suma responsabilidad,POSITIVE
la culpa del estado,NEUTRAL
cuando se tiene varias personalidades y eligen mal,NEUTRAL
¿ustedes son capaces de tener sexo sin besos yo no podría,NEUTRAL
que la vida me perdone las veces que no la viví,POSITIVE
amlo vs | amlo vs,NEUTRAL
me comparten este video de un venado cerca a la laguna de tota (boyacá),POSITIVE
aquí mi primer dibujo en mi cuenta secundaria xd,NEGATIVE
creo que los alcaldes si se dedican a trabajar por la protección de todos los ciudadanos tienen derecho a mercar cuando tengan tiempo con salvoconducto que pueden expedir ellos mismos ya es un mérito que no manden a mercar por turnos de cédula a sus choferes y guardaespaldas,POSITIVE
la propuesta la hizo la semana pasada el representante edward rodríguez quien dijo que el gobierno podría redireccionar parte de los 8 billones de pesos destinados a tal fin,POSITIVE
que amigos tan plays los míos,MIXED
nadie me puede investigar soy la máxima autoridad después de duque y elegida por el pueblo,POSITIVE
telemedellín lo niega rotundamente porque dicha afirmación aparecida en un blog en una emisora y replicada por algunos usuarios de redes sociales es absolutamente falsa,NEUTRAL
los labios la barbita las cejas las pestañas el cuerpo el colorcito ahhhh me enamore retwitt,NEUTRAL
frases que más he dicho en esta cuarentena¿ahí pueden ver mi pantalla,MIXED
nadie se rinde cuando algo le importa,MIXED
fabián casas,NEUTRAL
yo iba a estudiar pero como la voy a desacomodar,NEGATIVE
este lunes arrancó el de 500 mil personas a sus trabajo en el valle de aburrá ¿cómo te estás protegiendo en la calle envíanos una selfie con tu tapabocas puesto ¡queremos convertirte en ejemplo para todos deja tu foto aquí,NEUTRAL
no sea insolente y grosera decir lo que dice es peor que la infracción cometida qué le hace pensar que el presidente o el fiscal proceden de esa manera tan baja no encuentro otra explicación que el viejo dicho el ladrón juzga por su condición,NEUTRAL
que será del delicioso,POSITIVE
no son lo mejor pero igual las aprecio,NEUTRAL
ya tengo listo el starter pack para después de 40tena,NEGATIVE
como cambian las cosas,POSITIVE
lo que quiero preguntar ¿por qué son tan perfectos el hangul de google 왜 그렇게 아름다워ateez cuando lea la traducción pan con reloj hermosos que por,NEUTRAL
entre enero y marzo hubo más de 10 000 desplazados en el país por el conflicto las disidencias de las farc el eln bandas criminales al servicio del narcotráfico siguen maltratando a la población civil,NEUTRAL
según esto tengo psicosis y depresión,POSITIVE
en colombia hasta la salida al carulla termina en los juzgados con el código penal por delante ¿será atenuante de la pena la donación de una gotica en la registradora,NEUTRAL
buen día para todos mis amig,NEUTRAL
| verdes y blancas de colores brillantes ganadoras de título de arquero de presentación las camisetas nos enamoran por lo que significan y lo que logramos con ellas compártenos tu favorita,POSITIVE
¿qué esperas,POSITIVE
gracias por compartirnos su talento,MIXED
si tiene que rogarle a alguien que se quede mejor que se vaya,NEGATIVE
permanentemente necesitamos de tu ayuda para cuidar y brindar atención médica a nuestros peluditos rescatados ¡apoya a nuestros peluditoshaz tu donación a la cuenta de ahorros bancolombia 595292 24 nit 900356861 y repórtala al correo donaciones org,NEUTRAL
no trate como prioridad a quien lo ve solo como una opción,NEUTRAL
tan pronto se normalice la situación por la que atraviesa el país propondré un debate amplio en el congreso de la república con el fin de que identifiquemos las soluciones al lamentable trance que padece el sistema penitenciario nacional,NEUTRAL
a la hora de elegir un gobernante debes conocer su posición frente a la vida la familia y la fe protejamos nuestros pueblos,NEUTRAL
yo revisando mi cuenta de ahorros y ver los mismos 200 pesos que tenia hace 15 minutos,NEGATIVE
miren q importante es utilizar todos los elementos de protección guantes tapabocas y gorro aprendamos,POSITIVE
‍‍ ¿qué estas esperando para hacer parte de mi equipo de trabajo desde la comodidad de tu hogar inscribete en el siguiente enlace para aplicar a la oferta laboral ️,NEUTRAL
el arte de gobernar radica en saber entender los momentos coyunturales el buen gobernante tiene la habilidad de tomar decisiones sabias y analíticas en momentos complejos y la humildad para dejar su orgullo y prejuicios de lado cuando la coyuntura lo requiere,NEUTRAL
buenos días,NEGATIVE
nadamas lo voy a subir porque si sin ht ni nada bai,NEUTRAL
esto se sabía que iba a ser así si bien en las horas valle en el metro de medellín se respeta algo de la distancia mínima en las picos el panorama es otra cosa,POSITIVE
bogotá a la deriva,NEUTRAL
ustedes dirán que estoy obsesionado pero es que estamos es chimbiando jajajajaja tienen la estética no sé en donde,NEGATIVE
tranqui ya te gano,NEUTRAL
bitches be like como sabes que desayuno coca cola y cigarro,NEUTRAL
desde hace tiempo líderes sociales organizaciones civiles fuerzas vivas comuni tarias defensores de ddhh hemos venido preocupados por los altos índices de violencia y el grave problema de orden público que padece la ciudad,MIXED
no no era el modo carrera ’(,NEGATIVE
el segundo de la cuarentena,NEUTRAL
sera que es la 3,POSITIVE
entonces ustedes me invocarán y vendrán a mí en oración y yo los escucharé jeremías 2912,NEUTRAL
sientan bien los 24 mor,NEUTRAL
para muchos los libros son la única salida y la única compañía por estos días ¿qué simbolizan para ti ¿han tomado otros significados durante el aislamiento,MIXED
si subimos las vistas a 900k por dia lograriamos llegar en solo 2 meses a 1b puesto que falta solo 4m para 970 y faltarían 20 millones twt,NEUTRAL
mi breve opinión respecto a ese vicio de la de ir publicando la apertura de investigaciones,NEUTRAL
esto es mas real que anuel jajajaja,NEUTRAL
«además de »toda mafalda quino,NEUTRAL
amigos la gatita de una amiga está desaparecida ella sospecha que los vecinos pudieron regalarla o hasta botarla (si no es que le hicieron algo malo) porfavor si alguien sabe algo ahí les dejo el número ella es muy miedosa y territorial debe estar estresada lejos de casa,NEUTRAL
hola mi nombre es santiago franco cardona en el día de hoy quiero expresar mi inconformidad soy persona en situación de discapacidad y soy beneficiario de coomeva eps me parece una falta de respeto que uno solicitando insumos y no le den respuesta a uno ayuda,NEUTRAL
